np,distance,average_speed,total_elevation_gain
161,15.1641,17.9447,155
27,0.159071,1.66876,0
174,10.1305,18.8664,134
182,13.1859,20.5575,309
182,15.0163,20.5239,218
150,7.22567,21.2867,28
131,21.4528,17.8933,226
112,3.2663,20.0654,8
193,1.25585,24.0493,11
143,15.4623,18.4369,182
174,14.0539,21.3382,116
166,31.4719,19.3697,354
173,27.2835,22.6781,212
161,31.8948,19.7589,275
178,17.396,19.3473,389
174,21.5555,18.8037,379
169,21.4399,21.3382,153
71,2.72179,15.5288,14
175,20.5464,20.2533,423
76,1.42598,13.5089,22
189,12.4281,20.9847,214
135,7.58197,8.80012,0
187,6.84049,14.9249,253
102,0.180508,7.22084,10
187,2.5196,13.2427,102
146,2.3591,17.6562,2
168,8.00568,15.9673,0
156,8.76083,19.8103,64
114,3.54262,15.6094,60
140,21.1671,15.0546,429
152,7.1841,9.25422,397
140,16.3789,15.2671,381
63,0.375992,12.3054,0
139,17.5842,9.48015,925
130,8.31121,16.6316,0
138,2.22041,15.7346,24
142,20.4486,18.58,46
160,4.14983,17.0544,11
219,2.26204,18.8932,6
164,17.8701,14.0032,606
92,1.98758,15.0322,20
6,0.335851,9.3012,1
46,0.205984,10.7485,2
168,14.046,18.4615,86
149,13.3459,14.7616,0
104,13.4307,8.7263,0
166,15.1144,17.6316,138
167,2.80686,12.9385,0
110,7.9927,12.6879,0
129,12.4195,13.1308,0
167,16.1714,15.5736,0
131,21.509,11.6567,0
131,15.1822,14.3343,0
157,3.42928,10.0282,0
178,8.6076,21.6245,98
178,8.04856,23.329,0
158,12.26,17.1596,0
162,20.4425,20.7834,75
161,14.8668,17.7099,0
167,15.8602,17.0947,244
177,5.22082,20.9288,70
148,16.0762,15.9606,251
162,13.6519,16.2581,275
180,8.50004,16.9426,158
155,14.2998,19.0252,128
153,19.6537,19.6985,70
145,18.0149,18.0007,199
